JobID;Lib;Macro;Suspended;JobName;Descr;Friday2X;Param;JobPage;Prty
1;25;VYA;no;JEXRALDY;;si;come sta!;Giornalieri;1
2;25;VHK;no;JMAG31H;;no;come sta!;Giornalieri;2
3;25;VHK;no;JOCEVHK;lancia anche JDEE01HK;no;come sta!;Giornalieri;3
4;23;VHK;no;JOFXESTH;;no;come sta!;Giornalieri;4
5;25;VUK;no;JOCB010U;;no;come sta!;Giornalieri;5
6;25;VUK;no;JMCSRESI;variare anno a gennaio con quello in corso - se festivo cambiare date;no;come sta!;Giornalieri;6
7;25;VAF;no;JOCB010K;;no;come sta!;Giornalieri;7
8;25;VAF;no;JTRXMOVK;nel we deve girare il venerdi;no;come sta!;Giornalieri;8
9;25;VMX;si;JOCE024;aggiorna OCDB righe ordini su ordini Gucci;no;come sta!;Giornalieri;9
10;25;VMX;no;JOCEVMX;lancia anche JDEE01MX;no;come sta!;Giornalieri;10
11;25;VMX;no;JFCEFATM;estrazione bolle e creazione nuove fatture SAFILO MX;si;come sta!;Giornalieri;11
12;25;VMX;no;JFCX001M;31122050-999999999-Y-blank-blank-*;no;come sta!;Giornalieri;12
13;29;VMX;no;JMVEPEDI;;no;come sta!;Giornalieri;13
14;23;VMX;no;JOFXESTM;;no;come sta!;Giornalieri;14
15;25;VHE;no;JFCX001X;31122050-999999999-Y-blank-blank-*;no;come sta!;Giornalieri;15
16;28;VHE;no;JDWXIGDB;;no;come sta!;Giornalieri;16
17;28;VSL;no;JARCSOST;;no;come sta!;Giornalieri;17
18;23;VCH;no;JMVB090C;;no;come sta!;Giornalieri;18
19;28;VCH;no;JGCXCOOP;;si;come sta!;Giornalieri;19
20;28;VCH;no;JGCXINFI;;no;come sta!;Giornalieri;20
21;25;VUM;no;JFCX001O;"01011980 - 31122050 - ***** - *********** - Y - blank - 
blank";no;come sta!;Giornalieri;21
22;25;VDE;no;JUNIFIL;in caso di festivita forzare le date;no;come sta!;Giornalieri;22
23;25;VES;no;JUNIFIL;in caso di festivita forzare le date;no;come sta!;Giornalieri;23
24;25;VSW;no;JUNIFIL;in caso di festivita forzare le date;no;come sta!;Giornalieri;24
25;25;VFR;no;JUNIFIL;in caso di festivita forzare le date;no;come sta!;Giornalieri;25
26;25;VBE;no;JUNIFIL;in caso di festivita forzare le date;no;come sta!;Giornalieri;26
27;25;VHK;no;JUNIFIL;in caso di festivita forzare le date;no;come sta!;Giornalieri;27
28;25;VAU;no;JUNIFIL;in caso di festivita forzare le date;no;come sta!;Giornalieri;28
29;25;VNE;no;JUNIFIL;in caso di festivita forzare le date;no;come sta!;Giornalieri;29
30;25;VPT;no;JUNIFIL;in caso di festivita forzare le date;no;come sta!;Giornalieri;30
31;25;VUK;no;JUNIFIL;in caso di festivita forzare le date;no;come sta!;Giornalieri;31
32;25;VCH;no;JUNIFIL;in caso di festivita forzare le date;no;come sta!;Giornalieri;32
33;25;VSL;no;JUNIFIL;in caso di festivita forzare le date;no;come sta!;Giornalieri;33
34;25;VGE;si;JUNIFIL;in caso di festivita forzare le date;no;come sta!;Giornalieri;34
35;25;VAF;no;JUNIFIL;in caso di festivita forzare le date;no;come sta!;Giornalieri;35
36;25;VMX;no;JUNIFIL;in caso di festivita forzare le date;no;come sta!;Giornalieri;36
37;25;VHE;no;JUNIFIL;in caso di festivita forzare le date;no;come sta!;Giornalieri;37
38;25;VYA;no;JUNIFIL;in caso di festivita forzare le date;no;come sta!;Giornalieri;38
39;25;VUM;no;JUNIFIL;in caso di festivita forzare le date;no;come sta!;Giornalieri;39
40;28;VDE;no;JDWXSVFI;in caso di festivita forzare le date;no;come sta!;Giornalieri;40
41;28;VES;no;JDWXSVFI;in caso di festivita forzare le date;no;come sta!;Giornalieri;41
